Player,Nation,POS,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Team
Arturo Rodriguez,MEX,MF,25,4.7,1,11,4,36.4,2.35,0.86,0.09,0.25,,0,0,Charleston Battery
Juan Palma,COL,DF,24,4.4,0,3,0,0.0,0.69,0.0,0.0,,,0,0,Charleston Battery
Josh Drack,USA,DF,24,2.2,0,2,0,0.0,0.9,0.0,0.0,,,0,0,Charleston Battery
Daniel Kuzemka,USA,GK,25,2.0,0,0,0,,0.0,0.0,,,,0,0,Charleston Battery
Jake LaCava,USA,MF,23,2.3,0,2,0,0.0,0.85,0.0,0.0,,,0,0,Charleston Battery
Jackson Conway,USA,FW,22,1.2,2,7,3,42.9,5.78,2.48,0.29,0.67,,0,0,Charleston Battery
Robbie Crawford, SCO,MF,31,1.3,0,0,0,,0.0,0.0,,,,0,0,Charleston Battery
Matthew Dean,USA,,18,0.1,0,0,0,,0.0,0.0,,,,0,0,Charleston Battery
Jordan Doherty,IRL,DF,23,12.0,1,4,1,25.0,0.33,0.08,0.25,1.0,,0,0,Tampa Bay Rowdies
Jordan Farr,USA,GK,29,12.0,0,0,0,,0.0,0.0,,,,0,0,Tampa Bay Rowdies
Aaron Guillen,USA,DF,30,11.8,0,4,2,50.0,0.34,0.17,0.0,0.0,,0,0,Tampa Bay Rowdies
Lewis Hilton, ENG,MF,30,11.4,0,13,5,38.5,1.14,0.44,0.0,0.0,,0,0,Tampa Bay Rowdies
Blake Bodily,USA,MF,26,11.3,1,18,4,22.2,1.59,0.35,0.06,0.25,,0,0,Tampa Bay Rowdies
Daniel Crisostomo,USA,MF,27,10.7,0,9,2,22.2,0.84,0.19,0.0,0.0,,0,0,Tampa Bay Rowdies
Cal Jennings,USA,FW,27,10.1,8,50,19,38.0,4.97,1.89,0.16,0.42,,0,0,Tampa Bay Rowdies
Manuel Arteaga,VEN,FW,29,10.0,8,35,16,45.7,3.51,1.6,0.17,0.38,,2,2,Tampa Bay Rowdies
Eddie Munjoma,USA,MF,25,8.1,0,7,2,28.6,0.86,0.25,0.0,0.0,,0,0,Tampa Bay Rowdies
Forrest Lasso,USA,DF,31,8.0,2,6,4,66.7,0.75,0.5,0.33,0.5,,0,0,Tampa Bay Rowdies
Joshua Pérez,SLV,FW,26,5.8,0,4,3,75.0,0.69,0.52,0.0,0.0,,0,0,Tampa Bay Rowdies
Pacifique Niyongabire,BDI,MF,24,6.5,0,10,7,70.0,1.54,1.08,0.0,0.0,,0,0,Tampa Bay Rowdies
Damien Rivera,CRC,MF,21,3.8,1,12,3,25.0,3.13,0.78,0.08,0.33,,0,0,Tampa Bay Rowdies
Charlie Dennis, ENG,MF,28,2.8,1,8,3,37.5,2.89,1.08,0.13,0.33,,0,0,Tampa Bay Rowdies
Joey DeZart,JAM,MF,25,1.6,0,2,0,0.0,1.29,0.0,0.0,,,0,0,Tampa Bay Rowdies
Freddy Kleemann,USA,DF,25,1.5,0,0,0,,0.0,0.0,,,,0,0,Tampa Bay Rowdies
Leo Fernandes,BRA,MF,32,1.2,0,2,0,0.0,1.64,0.0,0.0,,,0,0,Tampa Bay Rowdies
Nick Moon,USA,MF,28,1.1,0,2,1,50.0,1.75,0.87,0.0,0.0,,0,0,Tampa Bay Rowdies
Nathan Worth,USA,MF,17,0.9,0,1,0,0.0,1.15,0.0,0.0,,,0,0,Tampa Bay Rowdies
Cristian Ortiz,USA,FW,17,0.5,0,3,1,33.3,6.43,2.14,0.0,0.0,,0,0,Tampa Bay Rowdies
Zachary Herivaux,HAI,MF,28,0.0,0,0,0,,0.0,0.0,,,,0,0,Tampa Bay Rowdies
Aedan Stanley,USA,DF,24,13.0,0,5,1,20.0,0.38,0.08,0.0,0.0,,0,0,Indy Eleven
Sebastián Guenzatti,URU,MF,32,11.1,3,16,7,43.8,1.44,0.63,0.19,0.43,,0,0,Indy Eleven
Jack Blake, SCO,MF,29,11.6,7,41,15,36.6,3.52,1.29,0.07,0.2,,4,4,Indy Eleven
Augustine Williams,SLE,FW,26,10.7,5,33,11,33.3,3.07,1.02,0.12,0.36,,1,1,Indy Eleven
Adrián Diz Pe,CUB,DF,30,11.2,1,5,5,100.0,0.45,0.45,0.2,0.2,,0,0,Indy Eleven
Cameron Lindley,USA,MF,26,10.4,0,1,1,100.0,0.1,0.1,0.0,0.0,,0,0,Indy Eleven
Josh O'Brien, ENG,DF,,8.7,1,4,1,25.0,0.46,0.11,0.25,1.0,,0,0,Indy Eleven
Douglas Martinez,HON,FW,26,8.7,3,12,6,50.0,1.38,0.69,0.25,0.5,,0,0,Indy Eleven
Tyler Gibson,USA,MF,33,7.1,0,2,0,0.0,0.28,0.0,0.0,,,0,0,Indy Eleven
Yannik Oettl,GER,GK,27,7.0,0,0,0,,0.0,0.0,,,,0,0,Indy Eleven
Callum Chapman-Page, ENG,DF,28,5.9,0,2,0,0.0,0.34,0.0,0.0,,,0,0,Indy Eleven
Hunter Sulte,USA,GK,22,6.0,0,0,0,,0.0,0.0,,,,0,0,Indy Eleven
Younes Boudadi,MAR,DF,28,5.8,0,1,1,100.0,0.17,0.17,0.0,0.0,,0,0,Indy Eleven
Benjamin Ofeimu,USA,DF,23,5.6,1,2,1,50.0,0.36,0.18,0.5,1.0,,0,0,Indy Eleven
Tega Ikoba,USA,MF,20,4.3,1,8,5,62.5,1.86,1.16,0.13,0.2,,0,0,Indy Eleven
Ben Mines,USA,MF,24,3.5,0,0,0,,0.0,0.0,,,,0,0,Indy Eleven
Danny Barbir,USA,DF,26,3.0,0,1,0,0.0,0.33,0.0,0.0,,,0,0,Indy Eleven
Max Schneider,GER,MF,23,2.9,0,2,0,0.0,0.7,0.0,0.0,,,0,0,Indy Eleven
Laurence Wootton, ENG,MF,24,1.6,0,0,0,,0.0,0.0,,,,0,0,Indy Eleven
Karsen Henderlong,USA,FW,23,1.0,0,0,0,,0.0,0.0,,,,0,0,Indy Eleven
Elliot Collier,NZL,FW,29,2.9,1,5,1,20.0,1.71,0.34,0.2,1.0,,0,0,Indy Eleven
Macauley King, ENG,DF,28,0.7,0,0,0,,0.0,0.0,,,,0,0,Indy Eleven
