Player,Nation,POS,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team
Yannick Bright,ITA,MF,22,2.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Inter Miami
Leonardo Afonso,BRA,FW,22,2.0,2,5,2,40.0,2.5,1.0,0.4,1.0,16.1,0.0,0,0,0.7,0.7,0.14,1.3,1.3,Inter Miami
Shanyder Borgelin,HAI,FW,22,1.3,0,3,0,0.0,2.23,0.0,0.0,,11.4,0.0,0,0,0.6,0.6,0.2,-0.6,-0.6,Inter Miami
C.J. dos Santos,USA,GK,23,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Inter Miami
Jose Casas de Abadal,USA,FW,23,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Inter Miami
Jean Mota,BRA,MF,30,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Inter Miami
Pavel Bucha,CZE,MF,26,16.7,1,24,6,25.0,1.44,0.36,0.04,0.17,21.4,0.0,0,0,1.4,1.4,0.06,-0.4,-0.4,FC Cincinnati
Luciano Acosta,ARG,MF,30,16.1,7,46,15,32.6,2.86,0.93,0.13,0.4,21.4,9.0,1,1,4.9,4.1,0.09,2.1,1.9,FC Cincinnati
Matt Miazga,USA,DF,28,15.7,0,10,2,20.0,0.64,0.13,0.0,0.0,21.0,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,FC Cincinnati
Luca Orellano,ARG,DF,24,14.8,3,38,14,36.8,2.56,0.94,0.08,0.21,22.4,3.0,0,0,2.7,2.7,0.07,0.3,0.3,FC Cincinnati
Miles Robinson,USA,DF,27,14.0,1,5,1,20.0,0.36,0.07,0.2,1.0,12.0,0.0,0,0,0.3,0.3,0.06,0.7,0.7,FC Cincinnati
Obinna Nwobodo,NGA,MF,27,12.9,0,6,1,16.7,0.47,0.08,0.0,0.0,25.0,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,FC Cincinnati
Roman Celentano,USA,GK,23,13.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,FC Cincinnati
Yuya Kubo,JPN,FW,30,12.8,7,30,15,50.0,2.34,1.17,0.23,0.47,16.9,0.0,0,0,5.0,5.0,0.17,2.0,2.0,FC Cincinnati
Ian Murphy,USA,DF,24,12.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,FC Cincinnati
DeAndre Yedlin,USA,DF,30,9.4,0,4,1,25.0,0.42,0.11,0.0,0.0,16.0,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4,FC Cincinnati
Corey Baird,USA,FW,28,9.0,1,16,5,31.3,1.78,0.55,0.06,0.2,12.4,0.0,0,0,2.7,2.7,0.17,-1.7,-1.7,FC Cincinnati
Aaron Boupendza,GAB,FW,27,5.7,2,17,8,47.1,2.99,1.41,0.12,0.25,19.3,1.0,0,0,2.2,2.2,0.13,-0.2,-0.2,FC Cincinnati
Gerardo Valenzuela,USA,FW,20,5.4,0,11,2,18.2,2.02,0.37,0.0,0.0,21.5,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5,FC Cincinnati
Kipp Keller,USA,DF,23,4.5,0,4,0,0.0,0.89,0.0,0.0,,9.0,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,FC Cincinnati
Nick Hagglund,USA,DF,31,3.8,0,1,1,100.0,0.26,0.26,0.0,0.0,12.0,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,FC Cincinnati
Kevin Kelsy,VEN,FW,19,4.5,3,11,8,72.7,2.46,1.79,0.27,0.38,12.2,0.0,0,0,1.1,1.1,0.1,1.9,1.9,FC Cincinnati
Sergio Santos Gomes,BRA,FW,29,4.4,2,11,7,63.6,2.53,1.61,0.18,0.29,11.5,0.0,0,0,2.1,2.1,0.19,-0.1,-0.1,FC Cincinnati
Alec Kann,USA,GK,33,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,FC Cincinnati
